transaction_id,customer_id,product,quantity,price,date,category,city,shipping_method,discount
T0001,C139,Smartphone,2,425.17,2025-03-05,Clothing,Los Angeles,Standard,5
T0002,C020,Smartwatch,1,73.31,2025-03-07,Home Appliances,Miami,Express,0
T0003,C058,Smartwatch,2,898.36,2025-03-06,Clothing,Boston,Express,10
T0004,C077,Smartphone,2,718.81,2025-03-06,Home Appliances,,Express,15
T0005,C070,Tablet,1,733.15,2025-03-02,Electronics,Seattle,Standard,20
T0006,C078,Monitor,3,760.61,2025-03-02,Accessories,San Francisco,Standard,20
T0007,C025,Keyboard,3,289.53,2025-03-07,,Seattle,Express,5
T0008,C196,Laptop,3,902.84,2025-03-05,Home Appliances,Seattle,Express,15
T0009,C097,Smartphone,2,257.27,2025-03-01,,Boston,Standard,10
T0010,C122,Headphones,2,297.01,2025-03-02,Accessories,Chicago,Express,0
T0011,C126,Monitor,3,679.6,2025-03-02,Electronics,New York,Standard,20
T0012,C065,Tablet,3,1144.64,2025-03-07,Electronics,Seattle,Express,15
T0013,C079,Monitor,2,419.75,2025-03-07,Clothing,Los Angeles,Express,10
T0014,C138,Monitor,2,540.93,2025-03-04,Electronics,Los Angeles,Standard,5
T0015,C174,Smartphone,2,1120.44,2025-03-06,Clothing,Boston,Express,10
T0016,C186,Smartwatch,2,91.25,2025-03-02,Electronics,Boston,Express,15
T0017,C113,Keyboard,2,217.97,2025-03-04,Accessories,New York,Standard,0
T0018,C109,Tablet,1,981.69,2025-03-05,Clothing,Chicago,Standard,10
T0019,C064,Smartphone,3,919.55,2025-03-07,Electronics,Miami,Standard,15
T0020,C013,Monitor,2,442.55,2025-03-05,Accessories,Seattle,Express,10
T0021,C138,Monitor,3,361.46,2025-03-03,Home Appliances,Los Angeles,Express,5
T0022,C014,Headphones,3,713.51,2025-03-07,Electronics,Miami,Express,0
T0023,C029,Smartphone,2,113.54,2025-03-02,Clothing,Boston,Standard,5
T0024,C024,Smartwatch,2,93.69,2025-03-03,Home Appliances,,Standard,0
T0025,C161,Monitor,3,471.6,2025-03-01,Accessories,Boston,Standard,15
T0026,C121,Headphones,2,283.26,2025-03-06,Electronics,New York,Express,5
T0027,C178,Monitor,2,935.82,2025-03-01,,,Express,10
T0028,C046,Monitor,3,504.21,2025-03-05,,Seattle,Express,0
T0029,C002,Laptop,2,648.32,2025-03-05,Clothing,Boston,Standard,5
T0030,C090,Smartwatch,2,511.35,2025-03-07,Accessories,,Standard,0
T0031,C099,Smartwatch,3,119.05,2025-03-03,,New York,Standard,5
T0032,C180,Laptop,1,236.47,2025-03-07,Clothing,Boston,Express,10
T0033,C013,Monitor,2,839.02,2025-03-05,Home Appliances,Chicago,Standard,15
T0034,C028,Smartphone,3,154.23,2025-03-02,Clothing,Los Angeles,Standard,15
T0035,C008,Smartwatch,3,384.06,2025-03-01,Electronics,,Express,10
T0036,C021,Keyboard,3,219.31,2025-03-01,Accessories,,Standard,0
T0037,C078,Monitor,2,1003.82,2025-03-07,Accessories,Boston,Standard,5
T0038,C011,Laptop,3,176.17,2025-03-04,Accessories,New York,Standard,20
T0039,C140,Headphones,3,473.08,2025-03-02,Electronics,Los Angeles,Express,10
T0040,C056,Smartwatch,1,336.47,2025-03-03,Accessories,Chicago,Standard,0
T0041,C063,Monitor,3,610.12,2025-03-07,,Seattle,Express,20
T0042,C186,Monitor,2,484.58,2025-03-06,,Chicago,Standard,5
T0043,C079,Monitor,3,911.51,2025-03-05,,San Francisco,Standard,20
T0044,C074,Smartphone,2,1085.57,2025-03-01,,Los Angeles,Standard,0
T0045,C100,Laptop,1,130.28,2025-03-02,Home Appliances,Boston,Express,10
T0046,C086,Monitor,2,1140.12,2025-03-05,,San Francisco,Express,5
T0047,C126,Monitor,3,267.16,2025-03-07,Electronics,Seattle,Express,15
T0048,C018,Smartwatch,3,1018.72,2025-03-02,Accessories,Los Angeles,Standard,0
T0049,C120,Smartwatch,3,897.66,2025-03-02,,,Express,0
T0050,C138,Smartphone,2,726.0,2025-03-03,Accessories,Boston,Express,20
T0051,C081,Headphones,2,577.7,2025-03-06,,New York,Express,20
T0052,C087,Laptop,3,97.96,2025-03-05,Home Appliances,San Francisco,Express,0
T0053,C031,Keyboard,1,325.89,2025-03-07,,San Francisco,Express,20
T0054,C139,Laptop,3,106.23,2025-03-02,,Boston,Standard,0
T0055,C198,Smartwatch,2,688.42,2025-03-07,Accessories,New York,Standard,20
T0056,C163,Laptop,3,190.15,2025-03-01,Clothing,Los Angeles,Express,20
T0057,C080,Smartwatch,2,587.0,2025-03-03,Electronics,San Francisco,Express,20
T0058,C138,Keyboard,3,585.96,2025-03-05,Home Appliances,,Express,10
T0059,C187,Headphones,2,217.74,2025-03-02,Accessories,Miami,Express,20
